"table_group","table_name","commodity_group","commodity","attribute","geography","year","frequency","timeperiod","unit","amount"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2007,"Annual","Local marketing year","Million metric tons","508.0560"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2007,"Annual","Local marketing year","Million metric tons","791.8300"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2007,"Annual","Local marketing year","Million metric tons","57.5940"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2007,"Annual","Local marketing year","Million metric tons","849.4240"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2007,"Annual","Local marketing year","Million metric tons","113.4880"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2008,"Annual","Local marketing year","Million metric tons","113.4880"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2008,"Annual","Local marketing year","Million metric tons","791.9970"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2008,"Annual","Local marketing year","Million metric tons","107.5870"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2008,"Annual","Local marketing year","Million metric tons","1013.0720"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2008,"Annual","Local marketing year","Million metric tons","294.8250"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2008,"Annual","Local marketing year","Million metric tons","520.5030"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2008,"Annual","Local marketing year","Million metric tons","817.0400"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2008,"Annual","Local marketing year","Million metric tons","61.4110"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2008,"Annual","Local marketing year","Million metric tons","878.4510"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2008,"Annual","Local marketing year","Million metric tons","136.3330"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2009,"Annual","Local marketing year","Million metric tons","136.3330"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2009,"Annual","Local marketing year","Million metric tons","775.5900"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2009,"Annual","Local marketing year","Million metric tons","113.4110"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2009,"Annual","Local marketing year","Million metric tons","1025.3340"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2009,"Annual","Local marketing year","Million metric tons","286.3910"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2009,"Annual","Local marketing year","Million metric tons","536.5320"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2009,"Annual","Local marketing year","Million metric tons","829.9510"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2009,"Annual","Local marketing year","Million metric tons","68.1610"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2009,"Annual","Local marketing year","Million metric tons","898.1120"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2009,"Annual","Local marketing year","Million metric tons","134.2500"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2010,"Annual","Local marketing year","Million metric tons","134.2500"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2010,"Annual","Local marketing year","Million metric tons","781.0940"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2010,"Annual","Local marketing year","Million metric tons","114.2390"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2010,"Annual","Local marketing year","Million metric tons","1029.5830"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2010,"Annual","Local marketing year","Million metric tons","302.1820"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2010,"Annual","Local marketing year","Million metric tons","542.2800"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2010,"Annual","Local marketing year","Million metric tons","844.2390"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2010,"Annual","Local marketing year","Million metric tons","65.9680"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2010,"Annual","Local marketing year","Million metric tons","910.2070"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2010,"Annual","Local marketing year","Million metric tons","119.1530"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2011,"Annual","Local marketing year","Million metric tons","119.1530"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2011,"Annual","Local marketing year","Million metric tons","853.0580"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2011,"Annual","Local marketing year","Million metric tons","126.2260"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2011,"Annual","Local marketing year","Million metric tons","1098.4370"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2011,"Annual","Local marketing year","Million metric tons","308.4100"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2011,"Annual","Local marketing year","Million metric tons","556.7190"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2011,"Annual","Local marketing year","Million metric tons","882.6280"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2011,"Annual","Local marketing year","Million metric tons","105.6620"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2011,"Annual","Local marketing year","Million metric tons","988.2900"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2011,"Annual","Local marketing year","Million metric tons","127.6460"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2012,"Annual","Local marketing year","Million metric tons","127.6460"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2012,"Annual","Local marketing year","Million metric tons","877.2470"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2012,"Annual","Local marketing year","Million metric tons","122.3130"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2012,"Annual","Local marketing year","Million metric tons","1127.2060"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2012,"Annual","Local marketing year","Million metric tons","309.3050"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2012,"Annual","Local marketing year","Million metric tons","562.9580"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2012,"Annual","Local marketing year","Million metric tons","866.3930"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2012,"Annual","Local marketing year","Million metric tons","102.3810"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2012,"Annual","Local marketing year","Million metric tons","968.7740"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2012,"Annual","Local marketing year","Million metric tons","152.5620"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2013,"Annual","Local marketing year","Million metric tons","152.5620"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2013,"Annual","Local marketing year","Million metric tons","952.4860"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2013,"Annual","Local marketing year","Million metric tons","154.2650"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2013,"Annual","Local marketing year","Million metric tons","1259.3130"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2013,"Annual","Local marketing year","Million metric tons","322.0700"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2013,"Annual","Local marketing year","Million metric tons","609.4410"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2013,"Annual","Local marketing year","Million metric tons","938.7830"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2013,"Annual","Local marketing year","Million metric tons","110.2740"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2013,"Annual","Local marketing year","Million metric tons","1049.0570"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2013,"Annual","Local marketing year","Million metric tons","217.5280"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2014,"Annual","Local marketing year","Million metric tons","217.5280"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2014,"Annual","Local marketing year","Million metric tons","971.5960"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2014,"Annual","Local marketing year","Million metric tons","166.7030"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2014,"Annual","Local marketing year","Million metric tons","1355.8270"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2014,"Annual","Local marketing year","Million metric tons","334.5620"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2014,"Annual","Local marketing year","Million metric tons","622.9090"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2014,"Annual","Local marketing year","Million metric tons","974.0010"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2014,"Annual","Local marketing year","Million metric tons","129.9730"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2014,"Annual","Local marketing year","Million metric tons","1103.9740"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2014,"Annual","Local marketing year","Million metric tons","268.3830"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2015,"Annual","Local marketing year","Million metric tons","268.3830"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2015,"Annual","Local marketing year","Million metric tons","942.2300"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2015,"Annual","Local marketing year","Million metric tons","177.9690"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2015,"Annual","Local marketing year","Million metric tons","1388.5820"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2015,"Annual","Local marketing year","Million metric tons","334.3540"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2015,"Annual","Local marketing year","Million metric tons","645.7140"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2015,"Annual","Local marketing year","Million metric tons","962.7250"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2015,"Annual","Local marketing year","Million metric tons","107.3810"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2015,"Annual","Local marketing year","Million metric tons","1070.1060"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2015,"Annual","Local marketing year","Million metric tons","301.1330"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2016,"Annual","Local marketing year","Million metric tons","301.1330"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2016,"Annual","Local marketing year","Million metric tons","1017.4180"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2016,"Annual","Local marketing year","Million metric tons","173.6250"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2016,"Annual","Local marketing year","Million metric tons","1492.1760"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2016,"Annual","Local marketing year","Million metric tons","350.2770"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2016,"Annual","Local marketing year","Million metric tons","681.8120"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2016,"Annual","Local marketing year","Million metric tons","1056.7330"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2016,"Annual","Local marketing year","Million metric tons","137.1940"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2016,"Annual","Local marketing year","Million metric tons","1193.9270"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2016,"Annual","Local marketing year","Million metric tons","322.8930"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2017,"Annual","Local marketing year","Million metric tons","322.8930"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2017,"Annual","Local marketing year","Million metric tons","982.3310"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2017,"Annual","Local marketing year","Million metric tons","189.6460"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2017,"Annual","Local marketing year","Million metric tons","1494.8700"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2017,"Annual","Local marketing year","Million metric tons","360.9150"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2017,"Annual","Local marketing year","Million metric tons","697.2700"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2017,"Annual","Local marketing year","Million metric tons","1053.7420"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2017,"Annual","Local marketing year","Million metric tons","120.9840"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2017,"Annual","Local marketing year","Million metric tons","1174.7260"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2017,"Annual","Local marketing year","Million metric tons","315.7010"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2018,"Annual","Local marketing year","Million metric tons","315.7010"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2018,"Annual","Local marketing year","Million metric tons","1026.9900"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2018,"Annual","Local marketing year","Million metric tons","194.6990"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2018,"Annual","Local marketing year","Million metric tons","1537.3900"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2018,"Annual","Local marketing year","Million metric tons","372.5230"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2018,"Annual","Local marketing year","Million metric tons","710.2130"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2018,"Annual","Local marketing year","Million metric tons","1100.1600"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2018,"Annual","Local marketing year","Million metric tons","159.7540"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2018,"Annual","Local marketing year","Million metric tons","1259.9140"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2018,"Annual","Local marketing year","Million metric tons","294.9000"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2019,"Annual","Local marketing year","Million metric tons","294.9000"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2019,"Annual","Local marketing year","Million metric tons","1067.1520"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2019,"Annual","Local marketing year","Million metric tons","201.9910"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2019,"Annual","Local marketing year","Million metric tons","1564.0430"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2019,"Annual","Local marketing year","Million metric tons","379.0310"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2019,"Annual","Local marketing year","Million metric tons","734.0800"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2019,"Annual","Local marketing year","Million metric tons","1119.0310"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2019,"Annual","Local marketing year","Million metric tons","160.5210"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2019,"Annual","Local marketing year","Million metric tons","1279.5520"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2019,"Annual","Local marketing year","Million metric tons","290.4110"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2020,"Annual","Local marketing year","Million metric tons","290.4110"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2020,"Annual","Local marketing year","Million metric tons","1075.0590"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2020,"Annual","Local marketing year","Million metric tons","231.5730"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2020,"Annual","Local marketing year","Million metric tons","1597.0430"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2020,"Annual","Local marketing year","Million metric tons","385.8510"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2020,"Annual","Local marketing year","Million metric tons","760.5260"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2020,"Annual","Local marketing year","Million metric tons","1146.1640"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2020,"Annual","Local marketing year","Million metric tons","156.6240"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2020,"Annual","Local marketing year","Million metric tons","1302.7880"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2020,"Annual","Local marketing year","Million metric tons","294.0420"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2021,"Annual","Local marketing year","Million metric tons","294.0420"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2021,"Annual","Local marketing year","Million metric tons","1109.4600"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2021,"Annual","Local marketing year","Million metric tons","227.4120"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2021,"Annual","Local marketing year","Million metric tons","1630.9140"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2021,"Annual","Local marketing year","Million metric tons","383.7240"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2021,"Annual","Local marketing year","Million metric tons","759.4770"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2021,"Annual","Local marketing year","Million metric tons","1166.8680"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2021,"Annual","Local marketing year","Million metric tons","183.1530"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2021,"Annual","Local marketing year","Million metric tons","1350.0210"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Ending stocks","Foreign",2021,"Annual","Local marketing year","Million metric tons","304.5600"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Beginning stocks","Foreign",2022,"Annual","Local marketing year","Million metric tons","304.5600"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Production","Foreign",2022,"Annual","Local marketing year","Million metric tons","1101.8130"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Imports","Foreign",2022,"Annual","Local marketing year","Million metric tons","210.1340"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total supply","Foreign",2022,"Annual","Local marketing year","Million metric tons","1616.5070"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Food, seed, and industrial use","Foreign",2022,"Annual","Local marketing year","Million metric tons","392.0200"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Feed use","Foreign",2022,"Annual","Local marketing year","Million metric tons","748.8660"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total domestic use","Foreign",2022,"Annual","Local marketing year","Million metric tons","1147.8400"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Exports","Foreign",2022,"Annual","Local marketing year","Million metric tons","175.2700"
"World production, supply, and disappearance","Table 2--Foreign coarse grains: Supply and disappearance","Coarse grains","Coarse grains","Total use","Foreign",2022,"Annual","Local marketing year","Million metric tons","1323.1100"
