"Timeperiod_Desc","Marketing_Year","MY_Definition","Commodity","Attribute_Desc","Attribute_Desc2","Amount","Unit_Desc","Table_number","Table_name"
"Dec.–Feb.","2004/05","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Imports","Imports","1377.31808","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Total supply","Total supply","2306017.31808","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Crush","Crush","436184.8","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Exports","Exports","410684.18793","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","77784.33016","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Total disappearance","Total disappearance","924653.31808","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2004/05","September-August","Soybeans","Ending stocks","Ending stocks","1381364","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Beginning stocks","Beginning stocks","1381364","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Imports","Imports","969.65595","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Total supply","Total supply","1382333.65595","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Crush","Crush","430721.9","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Exports","Exports","197913.17921","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","54424.57675","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Total disappearance","Total disappearance","683059.65595","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2004/05","September-August","Soybeans","Ending stocks","Ending stocks","699274","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Beginning stocks","Beginning stocks","699274","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Imports","Imports","2260.01768","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Total supply","Total supply","701534.01768","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Crush","Crush","401810.5","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Exports","Exports","82782.67425","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","-38797.15657","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Total disappearance","Total disappearance","445796.01768","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2004/05","September-August","Soybeans","Ending stocks","Ending stocks","255738","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Beginning stocks","Beginning stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Production","Production","3123790","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Imports","Imports","5577.56447","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Total supply","Total supply","3241781.56447","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Crush","Crush","1696081.23333","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Exports","Exports","1097156.29981","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","192806.03132","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Total disappearance","Total disappearance","2986043.56447","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2004/05","September-August","Soybeans","Ending stocks","Ending stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Beginning stocks","Beginning stocks","255738","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Production","Production","3068342","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Imports","Imports","587.62469","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Total supply","Total supply","3324667.62469","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Crush","Crush","442350.63333","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Exports","Exports","312634.21237","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","68256.77898","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Total disappearance","Total disappearance","823241.62469","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2005/06","September-August","Soybeans","Ending stocks","Ending stocks","2501426","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Beginning stocks","Beginning stocks","2501426","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Imports","Imports","777.73802","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Total supply","Total supply","2502203.73802","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Crush","Crush","437154.7","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Exports","Exports","305219.62766","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","90623.41036","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Total disappearance","Total disappearance","832997.73802","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2005/06","September-August","Soybeans","Ending stocks","Ending stocks","1669206","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Beginning stocks","Beginning stocks","1669206","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Imports","Imports","956.18895","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Total supply","Total supply","1670162.18895","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Crush","Crush","431251.76667","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Exports","Exports","184313.41725","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","63898.00503","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Total disappearance","Total disappearance","679463.18895","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2005/06","September-August","Soybeans","Ending stocks","Ending stocks","990699","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Beginning stocks","Beginning stocks","990699","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Imports","Imports","1050.45693","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Total supply","Total supply","991749.45693","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Crush","Crush","428094.63333","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Exports","Exports","137711.49277","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","-23382.66917","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Total disappearance","Total disappearance","542423.45693","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2005/06","September-August","Soybeans","Ending stocks","Ending stocks","449326","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Beginning stocks","Beginning stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Production","Production","3068342","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Imports","Imports","3372.00859","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Total supply","Total supply","3327452.00859","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Crush","Crush","1738851.73333","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Exports","Exports","939878.75005","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","199395.52521","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Total disappearance","Total disappearance","2878126.00859","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2005/06","September-August","Soybeans","Ending stocks","Ending stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Beginning stocks","Beginning stocks","449326","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Production","Production","3196726","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Imports","Imports","1520.96063","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Total supply","Total supply","3647572.96063","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Crush","Crush","459203.3","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Exports","Exports","373814.78773","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","113188.87291","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Total disappearance","Total disappearance","946206.96063","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2006/07","September-August","Soybeans","Ending stocks","Ending stocks","2701366","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Beginning stocks","Beginning stocks","2701366","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Imports","Imports","1910.41398","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Total supply","Total supply","2703276.41398","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Crush","Crush","449817.453","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Exports","Exports","396317.36448","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","70254.5965","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Total disappearance","Total disappearance","916389.41398","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2006/07","September-August","Soybeans","Ending stocks","Ending stocks","1786887","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Beginning stocks","Beginning stocks","1786887","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Imports","Imports","2568.66282","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Total supply","Total supply","1789455.66282","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Crush","Crush","453227.99633","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Exports","Exports","210005.31042","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","34037.35607","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Total disappearance","Total disappearance","697270.66282","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2006/07","September-August","Soybeans","Ending stocks","Ending stocks","1092185","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Beginning stocks","Beginning stocks","1092185","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Imports","Imports","3033.71372","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Total supply","Total supply","1095218.71372","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Crush","Crush","445456.893","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Exports","Exports","136358.40602","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","-60406.5853","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Total disappearance","Total disappearance","521408.71372","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"June-Aug.","2006/07","September-August","Soybeans","Ending stocks","Ending stocks","573810","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Beginning stocks","Beginning stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Production","Production","3196726","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Imports","Imports","9033.75115","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Total supply","Total supply","3655085.75115","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Crush","Crush","1807705.64233","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Exports","Exports","1116495.86864","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","157074.24018","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Total disappearance","Total disappearance","3081275.75115","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"MY Total","2006/07","September-August","Soybeans","Ending stocks","Ending stocks",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Beginning stocks","Beginning stocks","573810","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Production","Production","2677117","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Imports","Imports","1568.74471","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Total supply","Total supply","3252495.74471","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Crush","Crush","467364.811","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Exports","Exports","328060.35669","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","96710.57702","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Total disappearance","Total disappearance","892135.74471","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Sep.–Nov.","2007/08","September-August","Soybeans","Ending stocks","Ending stocks","2360360","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Beginning stocks","Beginning stocks","2360360","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Imports","Imports","3726.77658","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Total supply","Total supply","2364086.77658","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Crush","Crush","471037.22667","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Exports","Exports","431289.32001","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Seed, feed, and residual use","Seed, feed, and residual use","27778.22991","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Total disappearance","Total disappearance","930104.77658","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Dec.–Feb.","2007/08","September-August","Soybeans","Ending stocks","Ending stocks","1433982","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Beginning stocks","Beginning stocks","1433982","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Production","Production",NA,"Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Imports","Imports","2237.17321","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
"Mar.–May","2007/08","September-August","Soybeans","Total supply","Total supply","1436219.17321","Thousand bushels","6","Table 6—Soybeans: U.S. supply and disappearance, by crop year quarter, 2000/01–2024/25"
